搜索词,ID,项目名称,造价(百万),项目阶段,省份,城市,公布时间,区域,建面(㎡),行业分类,纬度,经度
供水,1514487,攸县城乡供水一体化项目 (攸县水务投资有限责任公司) v.2,800.0,设计,湖南省,株洲市,2022-10-21,华南区,,公用事业设施/基础建设,27.049812,113.55087
供水,1588174,山东省日照市2022X-401号两城河以东、张王庄村以南公用设施用地项目(日照山海天农村供水有限公司),,未确定,山东省,日照市,2022-10-21,华东区,,公用事业设施,35.4178833,119.5213994
供水,1410203,广东省惠州市惠东县高潭宝口供水工程项目 (惠东县水务工程建设服务中心) v.2,100.0,设计,广东省,惠州市,2022-10-21,华南区,,公用事业设施/基础建设,23.1146515,114.4107202
供水,1504173,韶关数据中心集群建设供水工程 (韶关市水务投资集团有限公司)v.3,271.93,主体工程中标/开工,广东省,韶关市,2022-10-20,华南区,,公用事业设施/基础建设,24.8136095,113.5922116
供水,1585269,南充航空港工业集中区工业供水建设项目(南充高坪水务开发建设有限公司),350.0,构思,四川省,南充市,2022-10-20,华西区,,公用事业设施/基础建设,30.8401171,106.1066076
供水,1542125,沈阳市辽中区2022年农村供水保障工程 (沈阳市辽中区水务事务服务中心) v.2,114.0,设计,辽宁省,沈阳市,2022-10-20,华北区,,公用事业设施/基础建设,41.8026095,123.4279105
供水,1585895,廉江市雅塘镇城乡一体化自来水工程 (廉江市农村供水服务中心),120.0,构思,广东省,湛江市,2022-10-19,华南区,,公用事业设施,21.2737079,110.3548318
供水,1485027,安溪县城乡供水一体化项目(安溪县水利局) v.2,1230.0,设计,福建省,泉州市,2022-10-18,华南区,,公用事业设施/基础建设,25.1901863,118.338717
供水,1583603,延吉市净水厂及供水管线改造项目(延吉市水务集团有限公司),70.0,构思,吉林省,延边朝鲜族自治州,2022-10-17,华北区,,公用事业设施/基础建设,42.906993,129.463588
供水,1558384,宿州市芦岭地表水厂一期工程(PPP) (宿州市城市管理局) v.2,1019.69,设计,安徽省,宿州市,2022-10-14,华东区,,公用事业设施,33.6482366,116.9588062
供水,1419755,泗洪县东南片区域供水工程(水厂改扩建)项目(EPC) (泗洪博世科水务有限公司) v.3,40.0,主体工程中标/开工,江苏省,宿迁市,2022-10-14,华东区,3351.0,公用事业设施/办公楼,33.9644701,118.2696994
供水,1443048,辛安泉供水改扩建壶关县供水配套工程(壶关县水利局(辛安泉壶关公司)),100.0,设计,山西省,长治市,2022-10-14,华北区,,公用事业设施/基础建设,36.1830167,113.0992929
供水,1579350,南丰县城乡供水一体化建设项目（一期）（EPC）（江西省南丰润泉供水有限公司）,100.0,构思,江西省,抚州市,2022-10-13,华南区,,公用事业设施/基础建设,27.9511188,116.3530413
供水,1562654,石狮供水设施改造项目 (福建省石狮供水股份有限公司) v.2,80.0,设计,福建省,泉州市,2022-10-13,华南区,,公用事业设施,25.1901863,118.338717
供水,1202287,武胜县农村供水保障工程（一期） (武胜嘉合水务有限公司) v.3,115.7,主体工程中标/开工,四川省,广安市,2022-10-13,华西区,,公用事业设施,30.4593051,106.6286646
供水,1574048,淮北市城乡地表水厂配套供水管网建设项目 (淮北市康源地表水务有限责任公司),500.0,设计,安徽省,淮北市,2022-10-13,华东区,,公用事业设施/基础建设,33.9566098,116.7928916
供水,1466316,元江县城乡供水一体化项目(元江哈尼族彝族傣族自治县水利局 )v.3,535.66,设计,云南省,玉溪市,2022-10-13,华西区,,公用事业设施/基础建设,24.3511487,102.527044
供水,1501607,昌图县昌北农村供水(一期)工程(昌图县水利工程建设管理处) v.2,441.0,设计,辽宁省,铁岭市,2022-10-12,华北区,,公用事业设施/基础建设,42.6345121,124.2858328
供水,1579944,新疆塔城地区托里县2022划34号庙尔沟金塔区公用设施用地项目(托里县庙尔沟镇金塔区供水工程建设项目)(托里县庙尔沟镇人民政府),,未确定,新疆,塔城地区,2022-10-12,华西区,,公用事业设施,45.749199,84.2850459
供水,1378955,太原市西山地表水厂供水工程-取水工程、DN1600输水管线工程及地表水厂工程(太原供水集团有限公司) v.2,500.0,设计,山西省,太原市,2022-10-11,华北区,,公用事业设施/基础建设,37.870009,112.5452739
供水,1577041,郑开同城东部供水工程（祥符区配套工程） (开封市祥符区水利局) (开封市水利局),500.0,构思,河南省,开封市,2022-10-10,华北区,,公用事业设施,34.604167,114.497222
供水,1577533,河南省信阳市息县XXHB(2022)9号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1577531,河南省信阳市息县XXHB(2022)9-7号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1577528,河南省信阳市息县XXHB(2022)9-6号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1577523,河南省信阳市息县XXHB(2022)9-4号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1577521,河南省信阳市息县XXHB(2022)9-3号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1577524,河南省信阳市息县XXHB(2022)9-5号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1577520,河南省信阳市息县XXHB(2022)9-2号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1577518,河南省信阳市息县XXHB(2022)9-1号淮河主干道北侧公用设施用地项目(河南省大别山革命老区引淮供水灌溉工程息县灌溉工程建设项目)(息县西石龙淮河引水灌溉工程管理),,未确定,河南省,信阳市,2022-10-10,华北区,,公用事业设施,32.075,114.853333
供水,1480994,维西傈僳族自治县农村集中供水保障工程（三期）建设项目(维西傈僳族自治县水务局) v.2,100.0,设计,云南省,迪庆藏族自治州,2022-10-10,华西区,,公用事业设施/基础建设,27.82234,99.7017831
供水,1575908,众益水务水厂改扩建及供水管网延伸工程 (宁国市众益水务有限公司),100.0,文件草议,安徽省,宣城市,2022-10-10,华东区,,公用事业设施/基础建设,30.9412541,118.7540167
供水,1574179,宁国市农村供水保障工程项目 (宁国市乡投水务开发有限公司),500.0,设计,安徽省,宣城市,2022-10-09,华东区,,公用事业设施/基础建设,30.9412541,118.7540167
供水,1574897,大邑县城乡供水一体化建设项目(成都西岭文旅投资运营集团有限公司),1000.0,构思,四川省,成都市,2022-10-09,华西区,,公用事业设施,30.6598628,104.0633717
供水,1574733,万源市城区及环城片区供水工程(万源市真硒农业投资开发有限公司),200.0,设计,四川省,达州市,2022-10-09,华西区,,公用事业设施,31.345115,107.650683
供水,1481147,新兴县供水一厂迁建工程项目 (新兴县供水管理中心),244.88,构思,广东省,云浮市,2022-10-09,华南区,,公用事业设施/基础建设,22.9173703,112.0396246
供水,1520783,前郭县长山镇及化工园区供水基础设施建设项目(前郭尔罗斯蒙古族自治县水旱灾害防御中心) v.3,318.2,文件草议,吉林省,松原市,2022-10-08,华北区,,公用事业设施/基础建设,45.1386775,124.8170805
供水,1575631,江西省抚州市H(2022)006号云山镇甘陂村、游源村（武警水电用地以西、郭家垅水库南侧）公用设施用地项目(昌抚合作示范区供水工程)(抚州市昌抚合作示范区管理委员会),,未确定,江西省,抚州市,2022-10-08,华南区,,公用事业设施,27.9511188,116.3530413
供水,1574162,长春市居民二次供水设施改造工程-长春汽车经济技术开发区工程项目(长春汽车经济技术开发区管理委员会)（长春汽车经济技术开发区建设项目管理中心）,300.0,构思,吉林省,长春市,2022-10-08,华北区,,公用事业设施/基础建设,43.8844201,125.3180998
供水,1249804,隆昌市城乡供水一体化项目工程（2021年）项目 (四川省隆昌市水利局) v.3,600.0,主体工程中标/开工,四川省,内江市,2022-10-08,华西区,,公用事业设施/基础建设,29.6602202,104.9192806
供水,1573854,随州高新区供水一体化建设项目（EPC）(随州盛源水务有限公司),123.75,施工单位招标,湖北省,随州市,2022-10-07,华南区,,公用事业设施,31.920921,113.465844
供水,1269952,惠安县城乡供水一体化项目(惠安县城乡供水有限责任公司) v.3,1500.0,设计,福建省,泉州市,2022-10-06,华南区,,公用事业设施/基础建设,25.1901863,118.338717
供水,1574592,内蒙古鄂尔多斯市伊旗中小企业创业基地C3-02-02地块规划三路南、建设二路西、纬十一东路北供应设施用地项目(伊金霍洛旗上善蒙苏园区供水有限责任公司),,未确定,内蒙古,鄂尔多斯市,2022-10-05,华北区,,公用事业设施,39.4602947,108.8134284
供水,1572109,聊城高新区城乡供水水质提升工程总承包(EPC)(聊城高新农业发展有限公司),279.7,截标后,山东省,聊城市,2022-09-30,华东区,,公用事业设施,36.4441808,115.9642007
供水,1566162,（游仙区城乡供水一体化新建清洁沟水厂部分）游仙区十四五农村供水保障规划及城乡供水一体化规划编制服务项目(四川省绵阳市游仙区水利建设发展中心、绵阳城东投资控股（集团）有限公司),800.0,构思,四川省,绵阳市,2022-09-30,华西区,,公用事业设施,31.4602714,104.7160723
供水,1569996,保山市施甸县城乡供水一体化工程（EPC）(施甸县水务局),1109.8,施工单位招标,云南省,保山市,2022-09-29,华西区,,公用事业设施/基础建设,25.1147115,99.1591622
供水,1546729,个旧市城乡供水一体化工程(个旧市农村饮水安全工程建设管理处) v.2,151.0,设计,云南省,红河哈尼族彝族自治州,2022-09-28,华西区,,公用事业设施/基础建设,23.3634018,103.3716107
供水,1545779,漯河市城乡供水一体化工程 (漯河市水利建设投资有限公司),300.0,构思,河南省,漯河市,2022-09-28,华北区,,公用事业设施/基础建设,33.688056,113.913056
供水,1572732,江西省吉安市吉水县H20220035号冠山乡公用设施用地项目(吉水县冠山水厂)(江西省吉水润泉供水有限公司),,未确定,江西省,吉安市,2022-09-28,华南区,,公用事业设施,27.0937349,114.961355
供水,1545690,昌宁县城乡供水一体化项目（EPC）(昌宁县水务局) v.2,1185.0,设计,云南省,保山市,2022-09-27,华西区,,公用事业设施/基础建设,25.1147115,99.1591622
供水,1568909,万宁市三更罗水厂供水管网工程项目(万宁市城乡发展有限公司),140.0,施工单位招标,海南省,万宁市,2022-09-27,华南区,,公用事业设施/基础建设,18.837778,110.2875
供水,1550957,浉河区城镇供水工程项目（含二期）EPC (信阳农开乡村水务有限公司),200.0,设计,河南省,信阳市,2022-09-26,华北区,,公用事业设施,32.075,114.853333
供水,1568360,城区义井镇规模化供水工程、城区义井河及支流河道治理工程(阳泉市城区农业农村局),60.0,构思,山西省,阳泉市,2022-09-26,华北区,,公用事业设施/基础建设,38.0935972,113.5265601
供水,1571112,重庆市北碚区龙凤桥槽上片区公用设施用地项目(北碚区龙凤桥镇供水工程项目)(重庆市北碚区缙云水利投资有限公司),,未确定,重庆,北碚区,2022-09-26,华西区,,公用事业设施,29.8669185,106.5229916
供水,1566138,仙海区城乡供水一体化项目（绵阳仙海文化旅游发展集团有限公司）,136.9,构思,四川省,绵阳市,2022-09-26,华西区,,公用事业设施,31.4602714,104.7160723
供水,1320286,海丰县东部片区供水提升工程 (海丰县水务集团有限公司) v.3,350.0,文件草议,广东省,汕尾市,2022-09-25,华南区,,公用事业设施,23.0123639,115.5099937
供水,1542254,竹山县饮水安全规模化供水工程 (竹山县堵河圣水水利水电投资有限公司),200.0,主体工程中标/开工,湖北省,十堰市,2022-09-22,华南区,,公用事业设施,32.45269,110.560812
供水,1543767,荥经县供水管网及厂站改造提升工程（第一期）（EPC）(荥经城投矿业有限责任公司),150.0,构思,四川省,雅安市,2022-09-22,华西区,,公用事业设施,30.0130923,103.0402038
供水,1372864,龙南市城乡供水一体化工程-润泉第二水厂工程 (江西省龙南润泉供水有限公司),250.0,主体工程中标/开工,江西省,赣州市,2022-09-22,华南区,,公用事业设施/办公楼,25.703866,115.348216
供水,1522281,夷陵区农村供水保障提升工程(二标段) (宜昌民生供水有限责任公司),771.1,主体工程中标/开工,湖北省,宜昌市,2022-09-22,华南区,,公用事业设施,30.694088,111.2803074
供水,1861726,城区供水建设项目(大名县名城国有资本投资运营有限责任公司),536.41,构思,河北省,邯郸市,2023-08-22,华北区,,公用事业设施/基础建设,36.6107711,114.4857072
供水,1862005,河南省信阳市浉河区SHHB2023-06-04号金牛山办事处、游河乡、南湾办事处公用设施用地项目(信阳市四水同治及城市供水工程(浉河区境内))(信阳市水利局),,未确定,河南省,信阳市,2023-08-22,华北区,,公用事业设施,32.075,114.853333
供水,1861996,河南省信阳市浉河区SHHB2023-06-07号金牛山办事处、游河乡、南湾办事处公用设施用地项目(信阳市四水同治及城市供水工程(浉河区境内))(信阳市水利局),,未确定,河南省,信阳市,2023-08-22,华北区,,公用事业设施,32.075,114.853333
供水,1862011,河南省信阳市浉河区SHHB2023-06-01号金牛山办事处、游河乡、南湾办事处公用设施用地项目(信阳市四水同治及城市供水工程(浉河区境内))(信阳市水利局),,未确定,河南省,信阳市,2023-08-22,华北区,,公用事业设施,32.075,114.853333
供水,1862008,河南省信阳市浉河区SHHB2023-06-03号金牛山办事处、游河乡、南湾办事处公用设施用地项目(信阳市四水同治及城市供水工程(浉河区境内))(信阳市水利局),,未确定,河南省,信阳市,2023-08-22,华北区,,公用事业设施,32.075,114.853333
供水,1772590,邹城市2023年农村供水改造提升工程（EPC）（邹城市城乡供排水管理服务中心）,37.03,主体工程中标/开工,山东省,济宁市,2023-08-22,华东区,,公用事业设施,35.4125047,116.5849266
供水,1860582,舞钢市水利局舞钢市农村供水全覆盖项目 (舞钢市水利局),90.0,主体工程中标/开工,河南省,平顶山市,2023-08-22,华北区,,公用事业设施,33.7374744,113.2981436
供水,1859519,阳西县溪头镇凤凰岭矿区供水工程( 中电建长九新材料（广东）有限公司),79.5,构思,广东省,阳江市,2023-08-21,华南区,,公用事业设施,22.0958223,111.7831393
供水,1860760,山西省临汾市汾西县FX2023-002号东至下山村集体土地、南至城区集体土地、西至城区集体土地、北至城区集体土地公用设施用地项目(汾西县城集中供热第一热源厂项目)(汾西县供水有限公司),,未确定,山西省,临汾市,2023-08-21,华北区,,公用事业设施,36.229963,111.381767
供水,1429223,唐山市丰润区中水管网、供水设施改造一期工程(EPC) (唐山市丰润区住房和城乡建设局) v.3,1010.88,主体工程中标/开工,河北省,唐山市,2023-08-18,华北区,,公用事业设施/基础建设,39.6295951,118.1738712
供水,1858080,山东省枣庄市2023（划）-53号善南街道龙泉路东侧、善南路北侧、郭河路西侧公用设施用地项目(滕州市第三加压水厂工程项目)(滕州市中润供水有限公司),,未确定,山东省,枣庄市,2023-08-18,华东区,,公用事业设施,34.8108822,117.3178922
供水,1813509,涟源市白马灌区现代化改造及融合发展项目之农村供水提质改造工程 (涟源市明宏水利电力开发有限公司) v.2,1000.0,设计,湖南省,娄底市,2023-08-17,华南区,,公用事业设施/基础建设,27.6995215,111.9890658
供水,1855683,德江县机场及周边乡镇供水工程(德江县乡镇供水总公司),200.0,施工单位招标,贵州省,铜仁市,2023-08-17,华西区,,公用事业设施/办公楼,27.7347312,109.1852081
供水,1856191,黑龙江省七台河市勃利县城镇供水管线及设施改造工程项目(EPC)(勃利县住房和城乡建设局),100.0,构思,黑龙江省,七台河市,2023-08-16,华北区,,公用事业设施/基础建设,45.7703578,131.0066556
供水,1856674,甘肃省酒泉市SBD-23-12号党城湾镇公用设施用地项目(肃北县新增水源地建设及城市供水能力提升项目)(肃北县供排水站),,未确定,甘肃省,酒泉市,2023-08-16,华西区,,公用事业设施,40.2773513,96.4560478
供水,1852714,上思县乡镇一体化集中供水工程项目 (上思县水利站),130.0,构思,广西省,防城港市,2023-08-16,华南区,,公用事业设施,21.8615,108.0271898
供水,1745009,重庆石柱土家族自治县500240130000052号黄水镇黄水社区街上组公用设施用地项目(黄水镇供水系统扩容改造)(石柱土家族自治县源通水务股份有限公司),60.0,主体工程中标/开工,重庆,石柱土家族自治县,2023-08-16,华西区,,公用事业设施,30.0885432,108.3135455
供水,1736185,黄梅县供水水质提升工程 (黄梅县城市供排水有限责任公司) v.3,72.92,主体工程中标/开工,湖北省,黄冈市,2023-08-16,华南区,,公用事业设施,30.4560187,114.8673226
供水,1855774,安徽省合肥市GJ2019-53号长丰县岗集镇公用设施用地项目(长丰供水集团有限公司岗集供水服务所)(长丰供水集团有限公司),,未确定,安徽省,合肥市,2023-08-16,华东区,,公用事业设施,31.8665676,117.281428
供水,1855771,安徽省合肥市LT2020-6号长丰县罗塘乡公用设施用地项目(长丰供水集团有限公司罗塘供水服务所)(长丰供水集团有限公司),,未确定,安徽省,合肥市,2023-08-16,华东区,,公用事业设施,31.8665676,117.281428
供水,1855761,新疆巴音郭楞蒙古自治州和静县静国划2023-10号巴音布鲁克镇镇政府办公楼以北公用设施用地项目(2017年巴音布鲁克镇基础设施配套工程(一期)(供水站工程)建设项目)(和静县巴音布鲁克镇人民政府),,未确定,新疆,巴音郭楞蒙古自治州,2023-08-16,华西区,,公用事业设施,39.495586,87.9790569
